Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,IoU,Dice Score,Per-class Accuracy
39,0.6107539347239903,0.8042479223675199,"tensor(0.9771, device='cuda:0')","[tensor(0.9774, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0060, device='cuda:0'), tensor(0.0019, device='cuda:0')]","[tensor(0.9886, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0039, device='cuda:0')]","[tensor(0.9929, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.7278, device='cuda:0'), tensor(734.9188, device='cuda:0')]"
40,0.6247064794812883,0.6447673075728946,"tensor(0.9693, device='cuda:0')","[tensor(0.9698, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0148, device='cuda:0')]","[tensor(0.9847, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0364, device='cuda:0'), tensor(0.0286, device='cuda:0')]","[tensor(0.9852, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.8159, device='cuda:0'), tensor(733.1526, device='cuda:0')]"
41,0.5986470196928296,0.5785290797551473,"tensor(0.9689, device='cuda:0')","[tensor(0.9696, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0690, device='cuda:0'), tensor(0.0152, device='cuda:0')]","[tensor(0.9845, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.1219, device='cuda:0'), tensor(0.0285, device='cuda:0')]","[tensor(0.9850, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.4376, device='cuda:0'), tensor(735.6493, device='cuda:0')]"
42,0.6103443043572562,0.5997357335355546,"tensor(0.9762, device='cuda:0')","[tensor(0.9764, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0317, device='cuda:0'), tensor(0.0146, device='cuda:0')]","[tensor(0.9880, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0582, device='cuda:0'), tensor(0.0277, device='cuda:0')]","[tensor(0.9919, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.0985, device='cuda:0'), tensor(738.2409, device='cuda:0')]"
43,0.5951276540756225,0.591417070892122,"tensor(0.9396, device='cuda:0')","[tensor(0.9414, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0553, device='cuda:0'), tensor(0.0109, device='cuda:0')]","[tensor(0.9697, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.1018, device='cuda:0'), tensor(0.0211, device='cuda:0')]","[tensor(0.9566, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(163.2747, device='cuda:0'), tensor(734.5195, device='cuda:0')]"
44,0.6118310247148786,0.7019457022349039,"tensor(0.8666, device='cuda:0')","[tensor(0.8683, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0291, device='cuda:0'), tensor(0.0119, device='cuda:0')]","[tensor(0.9293, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0554, device='cuda:0'), tensor(0.0226, device='cuda:0')]","[tensor(0.8829, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(150.0113, device='cuda:0'), tensor(738.2870, device='cuda:0')]"
45,0.5889672262328012,0.5909850597381592,"tensor(0.9300, device='cuda:0')","[tensor(0.9315, device='cuda:0'), tensor(1.3431e-06, device='cuda:0'), tensor(0.0517, device='cuda:0'), tensor(0.0105, device='cuda:0')]","[tensor(0.9645, device='cuda:0'), tensor(2.6863e-06, device='cuda:0'), tensor(0.0950, device='cuda:0'), tensor(0.0205, device='cuda:0')]","[tensor(0.9465, device='cuda:0'), tensor(187.0724, device='cuda:0'), tensor(163.4746, device='cuda:0'), tensor(727.4948, device='cuda:0')]"
46,0.6178868302277156,0.5783700744311014,"tensor(0.9729, device='cuda:0')","[tensor(0.9735, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0438, device='cuda:0'), tensor(0.0136, device='cuda:0')]","[tensor(0.9865, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0805, device='cuda:0'), tensor(0.0249, device='cuda:0')]","[tensor(0.9889, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.8176, device='cuda:0'), tensor(736.8515, device='cuda:0')]"
47,0.5868652846132006,0.5827881561385261,"tensor(0.9476, device='cuda:0')","[tensor(0.9487, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0614, device='cuda:0'), tensor(0.0113, device='cuda:0')]","[tensor(0.9736, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.1096, device='cuda:0'), tensor(0.0219, device='cuda:0')]","[tensor(0.9639, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(164.7506, device='cuda:0'), tensor(734.3354, device='cuda:0')]"
48,0.5950774661132268,0.5728864537345039,"tensor(0.9659, device='cuda:0')","[tensor(0.9666, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0438, device='cuda:0'), tensor(0.0166, device='cuda:0')]","[tensor(0.9830, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0809, device='cuda:0'), tensor(0.0317, device='cuda:0')]","[tensor(0.9819, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(167.8996, device='cuda:0'), tensor(734.8878, device='cuda:0')]"
