Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,Mean IoU,Mean Dice Score,Per-class IoU,Per-class Dice
46,0.5874615498951503,0.6032455960909525,"tensor(0.9570, device='cuda:0')",0.37508082389831543,0.4499147832393646,"[0.9611732959747314, 0.38256824016571045, 0.05221548303961754, 0.1043662428855896]","[0.9801903963088989, 0.5530498623847961, 0.09613095968961716, 0.17028789222240448]"
47,0.5913896833147322,0.5643513533804152,"tensor(0.9518, device='cuda:0')",0.40283456444740295,0.498130738735199,"[0.9574206471443176, 0.36517438292503357, 0.08729460090398788, 0.20144864916801453]","[0.9782221913337708, 0.5338793992996216, 0.15688955783843994, 0.32353174686431885]"
48,0.5845963273729596,0.5502393742402395,"tensor(0.9576, device='cuda:0')",0.4219147562980652,0.5179864168167114,"[0.9611362814903259, 0.39800146222114563, 0.12168146669864655, 0.20683981478214264]","[0.9801656007766724, 0.5682032704353333, 0.2105698585510254, 0.3130068778991699]"
49,0.5724747104304178,0.6120403475231595,"tensor(0.9485, device='cuda:0')",0.3750711679458618,0.46081918478012085,"[0.9581435322761536, 0.3260866701602936, 0.09066064655780792, 0.12539373338222504]","[0.9786120653152466, 0.4902746379375458, 0.16160570085048676, 0.2127843052148819]"
50,0.5842624494007655,0.5790403286616007,"tensor(0.9611, device='cuda:0')",0.38959282636642456,0.48001641035079956,"[0.9658293128013611, 0.3153499960899353, 0.11655382066965103, 0.1606382131576538]","[0.9826057553291321, 0.4774801433086395, 0.20583638548851013, 0.2541433572769165]"
51,0.5730514364583151,0.5952569908565946,"tensor(0.9493, device='cuda:0')",0.3828480839729309,0.47391507029533386,"[0.9585561752319336, 0.3255874514579773, 0.09466148167848587, 0.15258720517158508]","[0.9788178205490112, 0.4890557825565338, 0.17036302387714386, 0.2574236989021301]"
52,0.5836230209895543,0.5973936981625028,"tensor(0.9569, device='cuda:0')",0.38301366567611694,0.4652332663536072,"[0.960490345954895, 0.370491087436676, 0.052822936326265335, 0.14825023710727692]","[0.9798358082771301, 0.5400265455245972, 0.09680638462305069, 0.24426431953907013]"
53,0.5772567212581634,0.5555828213691711,"tensor(0.9512, device='cuda:0')",0.40774500370025635,0.5062750577926636,"[0.9570832848548889, 0.37663742899894714, 0.11732927709817886, 0.17993003129959106]","[0.9780448079109192, 0.5461860299110413, 0.20725713670253754, 0.29361239075660706]"
54,0.5773489083562579,0.5770864486694336,"tensor(0.9495, device='cuda:0')",0.39638519287109375,0.49028509855270386,"[0.9569847583770752, 0.3591735363006592, 0.09029725939035416, 0.1790851503610611]","[0.9780005216598511, 0.5271871089935303, 0.16293109953403473, 0.29302170872688293]"
55,0.583993307181767,0.5787710348765055,"tensor(0.9576, device='cuda:0')",0.39199045300483704,0.48350077867507935,"[0.9623584747314453, 0.35680851340293884, 0.1263987421989441, 0.1223960891366005]","[0.9808077216148376, 0.5246108770370483, 0.22385545074939728, 0.2047291249036789]"
56,0.5745506695338658,0.554190864165624,"tensor(0.9563, device='cuda:0')",0.41209402680397034,0.5042836666107178,"[0.9606869220733643, 0.4027404487133026, 0.0929482951760292, 0.19200044870376587]","[0.9799356460571289, 0.5729640126228333, 0.16755950450897217, 0.29667559266090393]"
57,0.5696079560688564,0.5577202439308167,"tensor(0.9577, device='cuda:0')",0.40473079681396484,0.49923884868621826,"[0.9630281925201416, 0.3729396164417267, 0.14075927436351776, 0.14219611883163452]","[0.9811533093452454, 0.5421581268310547, 0.24157534539699554, 0.23206864297389984]"
58,0.5634903865201133,0.5307284196217855,"tensor(0.9587, device='cuda:0')",0.42728254199028015,0.5275056958198547,"[0.9626728892326355, 0.4081607162952423, 0.11671200394630432, 0.2215845286846161]","[0.980961263179779, 0.57829350233078, 0.20673027634620667, 0.344037801027298]"
59,0.5452326459544046,0.5174218548668755,"tensor(0.9577, device='cuda:0')",0.437095046043396,0.5404306650161743,"[0.9622227549552917, 0.41627612709999084, 0.12913267314434052, 0.2407485991716385]","[0.9807289242744446, 0.5866897702217102, 0.2261650115251541, 0.36813896894454956]"
60,0.5570581810814994,0.526244557566113,"tensor(0.9570, device='cuda:0')",0.42867156863212585,0.5295438766479492,"[0.9613633751869202, 0.41229191422462463, 0.11049593985080719, 0.23053498566150665]","[0.9802815318107605, 0.5833266377449036, 0.1952132135629654, 0.3593541979789734]"
61,0.5398899044309343,0.535336411661572,"tensor(0.9602, device='cuda:0')",0.4214709997177124,0.5209842324256897,"[0.9654675722122192, 0.4030284881591797, 0.11589348316192627, 0.20149444043636322]","[0.9824199676513672, 0.57368403673172, 0.20723579823970795, 0.32059717178344727]"
62,0.5453256223882947,0.522425158156289,"tensor(0.9590, device='cuda:0')",0.4313328266143799,0.532512366771698,"[0.9627774357795715, 0.41671517491340637, 0.13918031752109528, 0.206658273935318]","[0.9810165762901306, 0.5873096585273743, 0.24040763080120087, 0.3213155269622803]"
63,0.5466397200311933,0.5304005212253995,"tensor(0.9570, device='cuda:0')",0.42641401290893555,0.5256550908088684,"[0.9615812301635742, 0.4203723967075348, 0.10108453780412674, 0.222617968916893]","[0.9804007411003113, 0.5905717015266418, 0.17757569253444672, 0.3540721833705902]"
64,0.5407257991177695,0.5117506980895996,"tensor(0.9606, device='cuda:0')",0.43978869915008545,0.5456729531288147,"[0.965022087097168, 0.4238230288028717, 0.1362302005290985, 0.23407946527004242]","[0.9821903705596924, 0.5944880247116089, 0.23697566986083984, 0.3690377473831177]"
65,0.5328940774713243,0.5132261481550005,"tensor(0.9581, device='cuda:0')",0.44014349579811096,0.5440898537635803,"[0.9633501768112183, 0.40713396668434143, 0.1276298314332962, 0.26246005296707153]","[0.9813236594200134, 0.5772449374198914, 0.21995551884174347, 0.39783525466918945]"
66,0.549337204013552,0.5240084595150418,"tensor(0.9576, device='cuda:0')",0.4338201880455017,0.5351300239562988,"[0.9621837735176086, 0.40636974573135376, 0.11746270209550858, 0.24926447868347168]","[0.9807115197181702, 0.5767990946769714, 0.20730583369731903, 0.3757035434246063]"
